 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         1 @Base\Base.jl              ? execute(::CVRP_Structures.CvrpA...
     1         1 @Base\Base.jl              ? getproperty
    48        48 @Base\Base.jl             33 getproperty
     1         1 @Base\Base.jl              ? grow_to!(::Array{Int64,1}, ::Ba...
    38        33 @Base\Base.jl             34 setproperty!
     7         7 @Base\Base.jl             34 setproperty!(::Neighborhood.Shi...
     8         0 @Base\abstractarray.jl    75 axes
     6         0 @Base\abstractarray.jl    95 axes1
     2         0 @Base\abstractarray.jl   491 checkbounds
     4         2 @Base\abstractarray.jl   506 checkbounds
     1         0 @Base\abstractarray.jl   563 checkindex
     1         0 @Base\abstractarray.jl   568 checkindex
    20         0 @Base\abstractarray.jl   971 copymutable
     1         1 @Base\abstractarray.jl   945 copyto_axcheck!
     6         0 @Base\abstractarray.jl   267 eachindex
     9         0 @Base\abstractarray.jl   692 empty
     1         0 @Base\abstractarray.jl   323 first
    12         0 @Base\abstractarray.jl  1060 getindex
     5         0 @Base\abstractarray.jl   302 lastindex
     5         0 @Base\abstractarray.jl   630 similar
     5         0 @Base\array.jl           562 Array
     1         1 @Base\array.jl           329 _copyto_impl!(::Array{Int64,1},...
     1         0 @Base\array.jl           335 _copyto_impl!(::Array{Int64,1},...
     4         4 @Base\array.jl           903 _deleteat!
     3         1 @Base\array.jl           901 _deleteend!
     6         6 @Base\array.jl           894 _growat!
   131       131 @Base\array.jl           892 _growend!
   203         0 @Base\array.jl           684 collect
     5         0 @Base\array.jl           554 convert
     2         0 @Base\array.jl           326 copyto!
     2         0 @Base\array.jl           350 copyto!
     4         0 @Base\array.jl          1310 deleteat!
     2         0 @Base\array.jl          1528 empty!
     1         0 @Base\array.jl           357 fill!
     1         1 @Base\array.jl           428 fill!
   205         0 @Base\array.jl          2108 findall
    67        67 @Base\array.jl             ? getClosestRoute
     1         1 @Base\array.jl           809 getClosestRoute
     2         2 @Base\array.jl             ? getPairs(::CVRP_Structures.Cvrp...
     5         5 @Base\array.jl             ? getindex
   247       247 @Base\array.jl           809 getindex
     7         7 @Base\array.jl           810 getindex
     2         0 @Base\array.jl           815 getindex
    66         0 @Base\array.jl           817 getindex
     6         0 @Base\array.jl           819 getindex
     1         1 @Base\array.jl           746 grow_to!(::Array{Int64,1}, ::Ba...
    10         0 @Base\array.jl           747 grow_to!(::Array{Int64,1}, ::Ba...
     9         0 @Base\array.jl           749 grow_to!(::Array{Int64,1}, ::Ba...
     9         0 @Base\array.jl           750 grow_to!(::Array{Int64,1}, ::Ba...
