 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
    25        25 @Base\Base.jl             33 getproperty
     1         1 @Base\Base.jl              ? grow_to!(::Array{Int64,1}, ::Ba...
    12        10 @Base\Base.jl             34 setproperty!
     3         3 @Base\Base.jl             34 setproperty!(::Neighborhood.Shi...
     1         0 @Base\abstractarray.jl   491 checkbounds
     1         0 @Base\abstractarray.jl   506 checkbounds
     1         0 @Base\abstractarray.jl   563 checkindex
     1         0 @Base\abstractarray.jl   576 checkindex
     2         0 @Base\abstractarray.jl   971 copymutable
     1         0 @Base\abstractarray.jl   946 copyto_axcheck!
     3         0 @Base\abstractarray.jl   692 empty
     1         1 @Base\abstractarray.jl     ? getindex
     5         0 @Base\abstractarray.jl  1060 getindex
     1         0 @Base\abstractarray.jl  1009 pointer
     3         0 @Base\abstractarray.jl   630 similar
     2         0 @Base\array.jl           562 Array
     1         0 @Base\array.jl           335 _copyto_impl!
     2         2 @Base\array.jl           903 _deleteat!
     4         4 @Base\array.jl           894 _growat!
    29        29 @Base\array.jl           892 _growend!
     1         1 @Base\array.jl             ? _unique!(::typeof(identity), ::...
     1         0 @Base\array.jl           252 _unsafe_copyto!(::Array{CVRP_St...
    45         0 @Base\array.jl           684 collect
     2         0 @Base\array.jl           554 convert
     1         0 @Base\array.jl           321 copyto!
     1         0 @Base\array.jl           347 copyto!
     2         0 @Base\array.jl          1310 deleteat!
    45         0 @Base\array.jl          2108 findall
    49        49 @Base\array.jl             ? getClosestRoute
     1         1 @Base\array.jl             ? getPairs(::CVRP_Structures.Cvrp...
     1         1 @Base\array.jl             ? getindex
   222       222 @Base\array.jl           809 getindex
     1         1 @Base\array.jl           810 getindex
    65         0 @Base\array.jl           817 getindex
     1         0 @Base\array.jl           819 getindex
     2         0 @Base\array.jl           747 grow_to!(::Array{Int64,1}, ::Ba...
     3         0 @Base\array.jl           749 grow_to!(::Array{Int64,1}, ::Ba...
     3         0 @Base\array.jl           750 grow_to!(::Array{Int64,1}, ::Ba...
    28         0 @Base\array.jl           751 grow_to!(::Array{Int64,1}, ::Ba...
    24         0 @Base\array.jl           773 grow_to!(::Array{Int64,1}, ::Ba...
     3         0 @Base\array.jl           778 grow_to!(::Array{Int64,1}, ::Ba...
     4         0 @Base\array.jl          1283 insert!
     1         0 @Base\array.jl          1285 insert!
     2         2 @Base\array.jl           227 isassigned
     2         2 @Base\array.jl             ? iterate
   148        10 @Base\array.jl           785 iterate
     6         6 @Base\array.jl           219 length
    27         0 @Base\array.jl           935 push!
     1         1 @Base\array.jl           942 push!
     2         0 @Base\array.jl          1085 resize!
    23        23 @Base\array.jl           847 setindex!
     2         0 @Base\array.jl           375 similar
    70         0 @Base\array.jl           379 similar
     3         0 @Base\array.jl           380 similar
     1         1 @Base\array.jl           290 unsafe_copyto!
     1         0 @Base\array.jl           311 unsafe_copyto!
     2         0 @Base\array.jl           129 vect
     8         0 @Base\array.jl           521 zeros
     8         0 @Base\array.jl           525 zeros
    51        51 @Base\bool.jl             40 &
   129       129 @Base\boot.jl            406 Array
    14         0 @Base\boot.jl            415 Array
     2         0 @Base\boot.jl            423 Array
    36         0 @Base\boot.jl            425 Array
  3689         0 @Base\boot.jl            331 eval(::Module, ::Any)
  3689         0 @Base\client.jl          399 (::Base.var"#807#809"{Bool,Bool...
  3689         0 @Base\client.jl          506 _start()
  3689         0 @Base\client.jl          313 exec_options(::Base.JLOptions)
  3689         0 @Base\client.jl          383 run_main_repl(::Bool, ::Bool, :...
     6         0 @Base\deepcopy.jl        105 _deepcopy_array_t(::Any, ::Type...
     7         0 @Base\deepcopy.jl         26 deepcopy
     1         0 @Base\deepcopy.jl         49 deepcopy_internal(::String, ::I...
     1         1 @Base\deepcopy.jl         53 deepcopy_internal(::Any, ::IdDi...
     1         1 @Base\deepcopy.jl         64 deepcopy_internal(::Any, ::IdDi...
     6         4 @Base\deepcopy.jl         65 deepcopy_internal(::Any, ::IdDi...
     6         0 @Base\deepcopy.jl         92 deepcopy_internal
     3         0 @Base\deepcopy.jl         92 deepcopy_internal(::Array{CVRP_...
     1         1 @Base\dict.jl             88 Dict{Int64,Nothing}()
     3         0 @Base\dict.jl             90 Dict{Int64,Nothing}()
  3689         0 @Base\essentials.jl      710 #invokelatest#1
  3689         0 @Base\essentials.jl      709 invokelatest
     3         3 @Base\float.jl           401 +
